clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
Bioclinica Sfantu Gheorghe,"B-dul Grigore Balan, Nr. 40, bl. 10, sc. D, ap. 3Covasna, Sfantu Gheorghe",B-dul Grigore Balan,Nr. 40,Sfantu Gheorghe,Covasna,"bl. 10, sc. D, ap. 3",Mihai
Bioclinica Sibiu,"Calea Dumbravii, Nr. 28-32Sibiu, Sibiu",Calea Dumbravii,Nr. 28-32,Sibiu,Sibiu,,Mihai
Bioclinica Slatina,"Str. Primaverii, Nr.13, bl. FA23A, sc.DOlt, Slatina",Str. Primaverii,Nr. 13,Slatina,Olt,"bl. FA23A, sc.D",Mihai
Bioclinica Soseaua Nicolina,"Soseaua Nicolina, Nr.79, bl. 977 C (dispensarul Rond Vechi CUG)Iasi, Iasi",Soseaua Nicolina,Nr. 79,Iasi,Iasi,bl. 977 C (dispensarul Ro,Mihai
Bioclinica Soveja,"Strada Soveja, Nr. 104, bl. 44Constanta, Constanta",Strada Soveja,Nr. 104,Constanta,Constanta,bl. 44,Mihai
Bioclinica Str. Sf. Apostol si Pavel,"Str. Sf. Apostoli Petru si Pavel, Nr.1Timis, Timisoara",Str. Sf. Apostoli Petru si Pavel,Nr. 1,Timisoara,Timis,,Mihai
Bioclinica Strada Lunga,"Str. Lunga 18-20, parter (intrare la Nr.14)Brasov, Brasov","Str. Lunga 18-20, parter (intrare la",Nr. 14),Brasov,Brasov,,Mihai
Bioclinica Suceava,"Strada Stefan cel Mare, Nr. 53A, bl. G, sc. C, ap. 3Suceava, Suceava",Strada Stefan cel Mare,Nr. 53A,Suceava,Suceava,"bl. G, sc. C, ap. 3",Mihai
Bioclinica Targoviste,"Str. Tudor Vladimirescu, Nr. 59Dambovita, Targoviste",Str. Tudor Vladimirescu,Nr. 59,Targoviste,Dambovita,,Mihai
Bioclinica Targu Secuiesc,"Str. Garii, Nr. 16Covasna, Targu Secuiesc",Str. Garii,Nr. 16,Targu Secuiesc,Covasna,,Mihai
Bioclinica Tomis,"Bulevardul Tomis, Nr. 142A, et. 3 (Clinica Aqua)Constanta, Constanta",Bulevardul Tomis,Nr. 142A,Constanta,Constanta,et. 3 (Clinica Aqua),Mihai
Bioclinica Traian,"Piata Traian, Nr. 2Timis, Timisoara",Piata Traian,Nr. 2,Timisoara,Timis,,Mihai
Bioclinica Tulcea,"Strada Isaccei, Nr. 31-33, bloc I8 - I9Tulcea, Tulcea",Strada Isaccei,Nr. 31-33,Tulcea,Tulcea,bloc I8 - I9,Mihai
Bioclinica Turceni,"Str Sanatatii,  bl.47, sc 1, ap 1Gorj, Turceni",Str Sanatatii,,Turceni,Gorj,"bl.47, sc 1, ap 1",Mihai
Bioclinica Turda,"Str. Libertatii, Nr. 3Cluj, Turda",Str. Libertatii,Nr. 3,Turda,Cluj,,Mihai
Bioclinica Uranus,"Str. Uranus, Nr. 10, bl. 10, sc. C, ap. 3Brasov, Brasov",Str. Uranus,Nr. 10,Brasov,Brasov,"bl. 10, sc. C, ap. 3",Mihai
Bioclinica Uranus Plaza,"Aleea Cristalului, Nr. 11Timis, Timisoara",Aleea Cristalului,Nr. 11,Timisoara,Timis,,Mihai
Bioclinica Valea lui Mihai,"Str. Republicii, Nr. 4Bihor, Valea lui Mihai",Str. Republicii,Nr. 4,Valea lui Mihai,Bihor,,Mihai
Bioclinica Valu lui Traian,"Calea Dobrogei, Nr. 300Constanta, Valu lui Traian",Calea Dobrogei,Nr. 300,Valu lui Traian,Constanta,,Mihai
Bioclinica Zarnesti,"Str. Policlinicii, Nr. 12, parterBrasov, Zarnesti",Str. Policlinicii,Nr. 12,Zarnesti,Brasov,parter,Mihai
Bioclinica Zona Brotacei,"Str. Capitan Dobrila Eugeniu, Nr. 1, bl. ST4Constanta, Constanta",Str. Capitan Dobrila Eugeniu,Nr. 1,Constanta,Constanta,bl. ST4,Mihai
Biodent Professional Centrul Medical M. Eminescu,Str. Mihai Eminescu Nr. 42 sector 1 Bucuresti,Str. Mihai Eminescu,Nr. 42,Sector 1,Bucuresti,,Mihai
Biodent Professional Centrul Medical Pipera,"Sos. Pipera Tunari Nr. 44Ilfov, Voluntari",Sos. Pipera Tunari,Nr. 44,Voluntari,Ilfov,,Mihai
Biodentix,Str. Alunisului Nr. 74 sector 4 Bucuresti,Str. Alunisului,Nr. 74,Sector 4,Bucuresti,,Mihai
Bioderm Pipera,"Sos. Pipera Tunari Nr. 44Ilfov, Voluntari",Sos. Pipera Tunari,Nr. 44,Voluntari,Ilfov,,Mihai
Biodev Medical Center - Iasi,"Str. Strapungerii Silvestru, Nr.8, Bl CL 20-21Iasi, Iasi",Str. Strapungerii Silvestru,Nr. 8,Iasi,Iasi,Bl CL 20-21,Mihai
BioLumiMedica - Laborator CM Brancusi,Str. Valea Doftanei Nr. 113 Sector 6 Bucuresti,Str. Valea Doftanei,Nr. 113,Sector 6,Bucuresti,,Mihai
BioLumiMedica - Laborator Grozavesti,Str. Grozavesti Nr. 82 Sector 4 Bucuresti,Str. Grozavesti,Nr. 82,Sector 4,Bucuresti,,Mihai
BioLumiMedica - Punct recoltare Domenii,Str. Alexandru Constantinescu Nr. 8 sector 1 Bucuresti,Str. Alexandru Constantinescu,Nr. 8,Sector 1,Bucuresti,,Mihai
BioLumiMedica - Punct recoltare Dudesti,Calea Dudesti Nr. 102 corp A Bucuresti,Calea Dudesti,Nr. 102,***,Bucuresti,corp A,Mihai
BioLumiMedica - Punct recoltare Rahova,"Calea Rahovei Nr. 309, bl 44, ap45, sector 5 Bucuresti",Calea Rahovei,Nr. 309,Sector 5,Bucuresti,"bl 44, ap45",Mihai
BioLumiMedica - Punct recoltare Serban Voda,Calea Serban Voda Nr. 232-234 sector 4 Bucuresti,Calea Serban Voda,Nr. 232-234,Sector 4,Bucuresti,,Mihai
Biomed,"B-dul Matei Basarab Nr.8-10 bl.P+8 ParterIalomita, Slobozia",B-dul Matei Basarab,Nr. 8-10,Slobozia,Ialomita,bl.P+8 Parter,Mihai
Bios Diagnostic,"Str. Londra Nr. 25, Sector 1 Bucuresti",Str. Londra,Nr. 25,Sector 1,Bucuresti,,Mihai
Biossan Brasov,"Str. Calea Bucuresti Nr. 9Brasov, Brasov",Str. Calea Bucuresti,Nr. 9,Brasov,Brasov,,Mihai
Biostom Bucuresti,Bd. Gheorghe Sincai Nr. 1A sector 4 Bucuresti,Bd. Gheorghe Sincai,Nr. 1A,Sector 4,Bucuresti,,Mihai
Biostom Ploiesti,"Str. Gh. Gr. Cantacuzino Nr. 152 bl. 3C1 ap. 3Prahova, Ploiesti",Str. Gh. Gr. Cantacuzino,Nr. 152,Ploiesti,Prahova,bl. 3C1 ap. 3,Mihai
Blident,,,,,,,Mihai
Blue Life Medical Center Bucuresti,"alea Dudesti, Nr. 104-122, in Policlinica Vitan Bucuresti",alea Dudesti,Nr. 104-122,***,Bucuresti,in Policlinica Vitan,Mihai
Borsa Praxis,"Str. Ciprian Porumbescu Nr. 51 ap. 1Timis, Timisoara",Str. Ciprian Porumbescu,Nr. 51,Timisoara,Timis,ap. 1,Mihai
Bote-San Clinique,"Str. Observatorului Nr. 11 bl. OS12 ap. 25Cluj, Cluj-Napoca",Str. Observatorului,Nr. 11,Cluj-Napoca,Cluj,bl. OS12 ap. 25,Mihai
Brain Institute,Str. Tony Bulandra Nr. 27 sector 2 (Spitalul Monza) Bucuresti,Str. Tony Bulandra,Nr. 27,Sector 2,Bucuresti,,Mihai
Bratescu Medical,Str. Aleea Avrig Nr. 16 Bl. P30 Sc. A Ap. 1 Interfon 001 Bucuresti,Str. Aleea Avrig,Nr. 16,***,Bucuresti,Bl. P30 Sc. A Ap. 1 Inter,Mihai
Briliant Confort Dent,Aleea Ciungan Florin Nr. 17 et. 1 sector 3 Bucuresti,Aleea Ciungan Florin,Nr. 17,Sector 3,Bucuresti,et. 1,Mihai
Brol Medical Center,"Str. Franyo Zoltan Nr. 6Timis, Timisoara",Str. Franyo Zoltan,Nr. 6,Timisoara,Timis,,Mihai
Brotac Medical Center - Bucuresti,Str. Turturelelor Nr. 11A et. 1 sector 3 (Phoenicia Business Center) Bucuresti,Str. Turturelelor,Nr. 11A,Sector 3,Bucuresti,et. 1,Mihai
Brotac Medical Center - Calarasi,"Str. Crisana Nr. 5 bl. D23 sc. 1A ap. 2 parterCalarasi, Calarasi",Str. Crisana,Nr. 5,Calarasi,Calarasi,bl. D23 sc. 1A ap. 2 part,Mihai
Brotac Medical Center - Lehliu Gara,"B-dul Nicolae Titulescu Nr. 7A et. 1Calarasi, Lehliu-Gara",B-dul Nicolae Titulescu,Nr. 7A,Lehliu-Gara,Calarasi,et. 1,Mihai
Brotac Medical Center - Oltenita,"B-dul Republicii Nr. 24-28 bl. F3 sc. A ap. 1 parterCalarasi, Oltenita",B-dul Republicii,Nr. 24-28,Oltenita,Calarasi,bl. F3 sc. A ap. 1 parter,Mihai
C.M.I. Dr. Alexandru Gabriel Simion,,,,,,,Mihai
C.M.I. Dr. Stefanescu Ioana Cornelia,,,,,,,Mihai
C.M.I. DR.IVANUTA LUCIAN GEORGE,Str Grintiesului Nr. 1 bl O11 ap 165 sector 6 Bucuresti,Str Grintiesului,Nr. 1,Sector 6,Bucuresti,bl O11 ap 165,Mihai
Cabinet Cardiologie Dr. Topolnitchi Lacramioara,"B-dul 1 Decembrie 1918  bl. 12 sc. I ap. 2Covasna, Sfantu Gheorghe",B-dul 1 Decembrie 1918,,Sfantu Gheorghe,Covasna,bl. 12 sc. I ap. 2,Mihai
Cabinet Danci Cluj Napoca,"Str. Vasile Alecsandri Nr. 7Cluj, Cluj-Napoca",Str. Vasile Alecsandri,Nr. 7,Cluj-Napoca,Cluj,,Mihai
Cabinet de Consiliere Psihologica si Psihoterapie - Doina Grasu,B-dul Decebal Nr. 1 bl. H2 sc. 4 et. 1 ap. 86 sector 3 Bucuresti,B-dul Decebal,Nr. 1,Sector 3,Bucuresti,bl. H2 sc. 4 et. 1 ap. 86,Mihai
Cabinet de Medicina de familie Dr. Vaetisi,"B-dul Victor Babes Nr. 21, etaj 2 (Cabinet Nr. 5Timis, Timisoara",B-dul Victor Babes,Nr. 21,Timisoara,Timis,etaj 2 (Cabinet Nr. 5,Mihai
Cabinet de Ortodontie Dr. Ghiba Raluca,B-dul Constantin Brancoveanu Nr. 65-71 bl. 29 sc. 2 P ap. 38 sector 4 Bucuresti,B-dul Constantin Brancoveanu,Nr. 65-71,Sector 4,Bucuresti,bl. 29 sc. 2 P ap. 38,Mihai
Cabinet de Pediatrie Dr. Ana-Maria Briot,,,,,,,Mihai
Cabinet de psihologie Radu Nicolae Cocea,,,,,,,Mihai
Cabinet de Psihoterapie Cognitiv - Comportamentala,Cartier Cotroceni  Bucuresti,Cartier Cotroceni,,***,Bucuresti,,Mihai
Cabinet de Radiologie si Imagistica Medicala ISO-X,"Str. Mihai Eminescu Nr. 9Cluj, Cluj-Napoca",Str. Mihai Eminescu,Nr. 9,Cluj-Napoca,Cluj,,Mihai
Cabinet Dentar Brezeanu Andreea Mihaela,,,,,,,Mihai
Cabinet Dermatologic Derm A,,,,,,,Mihai
Cabinet dermatologie si venerologie Dr Viorica Gabrian,,,,,,,Mihai
Cabinet Dermato-Venerologie Dr. Dabagh,"Str. Brandusei Nr. 18 sc. B ap. 4Timis, Timisoara",Str. Brandusei,Nr. 18,Timisoara,Timis,sc. B ap. 4,Mihai
Cabinet Doctor Nuca,"B-dul Tomis Nr. 217 bl. TS10 sc. B ap. 23Constanta, Constanta",B-dul Tomis,Nr. 217,Constanta,Constanta,bl. TS10 sc. B ap. 23,Mihai
Cabinet Dr. Ana Culcer,Str. Chiristigiilor Nr. 2 bl. P36 sc. A et. 1 ap. 03 sector 2 Bucuresti,Str. Chiristigiilor,Nr. 2,Sector 2,Bucuresti,bl. P36 sc. A et. 1 ap. 0,Mihai
Cabinet Dr. Botea Nicolae,Str. Iuliu Gall Nr. 4 sector 5 Bucuresti,Str. Iuliu Gall,Nr. 4,Sector 5,Bucuresti,,Mihai
Cabinet Dr. Enachescu Diana Madalina,,,,,,,Mihai
Cabinet Dr. Hatami Afshin,B-dul. Ferdinand I Nr. 12A sector 2 Bucuresti,B-dul. Ferdinand I,Nr. 12A,Sector 2,Bucuresti,,Mihai
Cabinet Dr. Tudoroniu Cosmin,"Str. Ploiesti Nr. 42Cluj, Cluj-Napoca",Str. Ploiesti,Nr. 42,Cluj-Napoca,Cluj,,Mihai
Cabinet Endoplus,"Str. Traian Nr. 16Cluj, Cluj-Napoca",Str. Traian,Nr. 16,Cluj-Napoca,Cluj,,Mihai
Cabinet Ginecologic Ludosan,,,,,,,Mihai
Cabinet homeopatie Dr. Diana Dragomir,B-dul Corneliu Coposu Nr. 7 bl. 104 sc. 1 et. 4 ap. 14 Bucuresti,B-dul Corneliu Coposu,Nr. 7,***,Bucuresti,bl. 104 sc. 1 et. 4 ap. 1,Mihai
Cabinet Homeopatie Dr. Ella Bradin,B-dul. Pache Protopopescu Nr. 119 et. 2 cam. 7 sector 2 - Centrul de Medicina Integrativa Qi Bucuresti,B-dul. Pache Protopopescu,Nr. 119,Sector 2,Bucuresti,et. 2 cam. 7,Mihai
Cabinet Individual de Psihologie - Adina Demian,B-dul Decebal Nr. 1 bl. H2 sc. 4 et. 1 ap. 86 sector 3 Bucuresti,B-dul Decebal,Nr. 1,Sector 3,Bucuresti,bl. H2 sc. 4 et. 1 ap. 86,Mihai
Cabinet Individual de Psihologie - Szentes Adela,,,,,,,Mihai
Cabinet Individual de Psihologie Ana Moldovan Cluj Napoca,"Str. Eroilor Nr. 34Cluj, Cluj-Napoca",Str. Eroilor,Nr. 34,Cluj-Napoca,Cluj,,Mihai
Cabinet Individual de Psihologie Elena Iamandi,,,,,,,Mihai
Cabinet Individual de Psihologie Iuliana Fulas,,,,,,,Mihai
Cabinet Individual de Psihologie Puica Ioana Mihaela,Str Dumbrava Noua Nr. 41 sector 5 cartier Rahova Bucuresti,Str Dumbrava Noua,Nr. 41,Sector 5,Bucuresti,,Mihai
Cabinet Medical Al Saha Interne ### Cardiologie,"B-dul Independentei Nr. 15 ap. 1Vrancea, Focsani",B-dul Independentei,Nr. 15,Focsani,Vrancea,ap. 1,Mihai
Cabinet Medical Atlas,,,,,,,Mihai
Cabinet Medical Dr. Amalia Calinoiu,"Bulevard Gheorghe Sincai Nr. 12 bl. 12 sc. C ap.64, parterSector 4 Bucuresti",Bulevard Gheorghe Sincai,Nr. 12,Sector 4,Bucuresti,"bl. 12 sc. C ap.64, parte",Mihai
Cabinet medical Dr. Dragomir,"str. Reconstructiei Nr.2, bl. 26, sc. C, parter Bucuresti",str. Reconstructiei,Nr. 2,***,Bucuresti,"bl. 26, sc. C, parter",Mihai
Cabinet Medical Individual - Dr. Elena Banica,,,,,,,Mihai
Cabinet Medical Individual - Dr. Mihaela Badea,Str. Zarandului Nr. 4 bl. 467 sc. 1 ap. 9 Bucuresti,Str. Zarandului,Nr. 4,***,Bucuresti,bl. 467 sc. 1 ap. 9,Mihai
Cabinet Medical Individual Dr. Olteiu Florina,str. Stolnicului Nr. 6-10 ap 3 sector 1 Bucuresti,str. Stolnicului,Nr. 6-10,Sector 1,Bucuresti,ap 3,Mihai
Cabinet Medical Medicina Interna Dr. Luminita Stoica,"B-dul Victor Babes Nr. 21Timis, Timisoara",B-dul Victor Babes,Nr. 21,Timisoara,Timis,,Mihai
Cabinet Medical Obstetrica Ginecologie Dr. Bran,"Str. Valeriu Braniste Nr. 5Timis, Timisoara",Str. Valeriu Braniste,Nr. 5,Timisoara,Timis,,Mihai
Cabinet Medical Obstetrica Ginecologie Dr. Fawaz Chazli,"Str. Ion Lahovari Nr. 154Constanta, Constanta",Str. Ion Lahovari,Nr. 154,Constanta,Constanta,,Mihai
Cabinet Medical Obstetrica Ginecologie Dumbravita Dr. Bran,"Str. Barcelona Nr.1Timis, Dumbravita",Str. Barcelona,Nr. 1,Dumbravita,Timis,,Mihai
Cabinet Medical Sanfiz,,,,,,,Mihai
Cabinet Medispa - Union Medical - Cluj Napoca,"Str. Bucegi Nr. 13-15Cluj, Cluj-Napoca",Str. Bucegi,Nr. 13-15,Cluj-Napoca,Cluj,,Mihai
Cabinet Obstetrica - Ginecologie Dr. Parau Corina,,,,,,,Mihai
Cabinet Obstetrica Ginecologie Dr. Cimpeanu Luminita,"Str. 1 Decembrie Nr. 36Timis, Timisoara",Str. 1 Decembrie,Nr. 36,Timisoara,Timis,,Mihai
Cabinet Prof. Dr. Stefan Mindea,"Bd. Mircea cel Batran Nr. 102Constanta, Constanta",Bd. Mircea cel Batran,Nr. 102,Constanta,Constanta,,Mihai
Cabinet Prof. Univ. Dr. Mircea Onofriescu,"Str. Bacinschi Nr. 2 et. 1 ap. 3Iasi, Iasi",Str. Bacinschi,Nr. 2,Iasi,Iasi,et. 1 ap. 3,Mihai
Cabinet Psihologie  Maria Gherghescu,"Str. 1 Decembrie Nr. 38Vaslui, Barlad",Str. 1 Decembrie,Nr. 38,Barlad,Vaslui,,Mihai
Cabinet Psihologie Popa Anca,Piata Alba Iulia Nr. 2 bl. I1 sc. A et. 4. ap. 7 Bucuresti,Piata Alba Iulia,Nr. 2,***,Bucuresti,bl. I1 sc. A et. 4. ap. 7,Mihai
Cabinet Stomatologic Dr. Ana Maria Urseanu,Str. Foisorului Nr. 4 bl. F1C sector 3 Bucuresti,Str. Foisorului,Nr. 4,Sector 3,Bucuresti,bl. F1C,Mihai
Cabinet Stomatologic Dr. Bogdan Rizea,"Str. Fortunei Nr. 34Prahova, Ploiesti",Str. Fortunei,Nr. 34,Ploiesti,Prahova,,Mihai
Cabinet Stomatologic Dr. Cerasela Grigoras,Str. Virgiliu Nr. 42 sector 1 Bucuresti,Str. Virgiliu,Nr. 42,Sector 1,Bucuresti,,Mihai
Cabinet Stomatologic Dr. Liviu Pestritu,"Piata Traian str. Zavoi Nr.3Timis, Timisoara",Piata Traian str. Zavoi,Nr. 3,Timisoara,Timis,,Mihai
Cabinet Stomatologic Dr. Pirlanescu Andrei,"Str. Fratii Golesti  bl. S10 sc. A ap. 2Arges, Pitesti",Str. Fratii Golesti,,Pitesti,Arges,bl. S10 sc. A ap. 2,Mihai
Cabinet Stomatolologic TotalDent,,,,,,,Mihai
Cabinet Stomdas Bacau,"Str Mihai Viteazu Nr. 1Bacau, Bacau",Str Mihai Viteazu,Nr. 1,Bacau,Bacau,,Mihai
Cabinet Stomdas Mioritei,"Str Mioritei  Bl 13 Sc C Ap 2Bacau, Bacau",Str Mioritei,,Bacau,Bacau,Bl 13 Sc C Ap 2,Mihai
Cabinet Terapia Bowen (Bowtech),Str. Voronet Nr. 18 bl. A22 sc. 2 ap. 15 sector 3 Bucuresti,Str. Voronet,Nr. 18,Sector 3,Bucuresti,bl. A22 sc. 2 ap. 15,Mihai
Cabinet Terapie Miruna Stanculescu,Str. Ion Radovici Nr. 12 sector 5 Bucuresti,Str. Ion Radovici,Nr. 12,Sector 5,Bucuresti,,Mihai
Cabinet Uromed,,,,,,,Mihai
Cabinet Uromed - Policlinica Cina,,,,,,,Mihai
Cabinet Viata Medicala,"B-dul Tutora Nr. 4 sc. E ap. 1 parterIasi, Iasi",B-dul Tutora,Nr. 4,Iasi,Iasi,sc. E ap. 1 parter,Mihai
Cabinete Medicale Grupate Areni - Policlinica Suceava,,,,,,,Mihai
Cabinete Medicale Grupate Vitan (Policlinica Vitan),,,,,,,Mihai
Cabinetele EcoDiagnost,"Str. Closca Nr. 7 parterCluj, Cluj-Napoca",Str. Closca,Nr. 7,Cluj-Napoca,Cluj,parter,Mihai
Cabinetele Medicale Mihalache,"Vasile Lupu, Nr. 95 MIasi, Iasi",Vasile Lupu,Nr. 95,Iasi,Iasi,M,Mihai
Cabinetul Cardiologic Dr. Mihaela Dumitrasciuc,,,,,,,Mihai
Caras-Severin,,,,,,,Mihai
Cardio Class,"Str. Negoiu Nr.17, Sector 3 Bucuresti",Str. Negoiu,Nr. 17,Sector 3,Bucuresti,,Mihai
CardioClinic,B-dul Barbu Vacarescu Nr. 42A et. 2 sector 2 Bucuresti,B-dul Barbu Vacarescu,Nr. 42A,Sector 2,Bucuresti,et. 2,Mihai
CardioKinetic - Clinica Reabilitare Cardiaca,"Str. Bogdanestilor Nr. 81Timis, Timisoara",Str. Bogdanestilor,Nr. 81,Timisoara,Timis,,Mihai
Cardiolife Constanta,"B-dul Tomis Nr. 145Constanta, Constanta",B-dul Tomis,Nr. 145,Constanta,Constanta,,Mihai
Cardiolife Deva,"Str. Ion Creanga  bl. 29 sc. C parterHunedoara, Deva",Str. Ion Creanga,,Deva,Hunedoara,bl. 29 sc. C parter,Mihai
Cardiolife Dorobantilor - Timisoara,"Calea Dorobantilor Nr. 20Timis, Timisoara",Calea Dorobantilor,Nr. 20,Timisoara,Timis,,Mihai
Cardiolife F. Zoltan - Timisoara,"Str. Franyo Zoltan Nr. 6Timis, Timisoara",Str. Franyo Zoltan,Nr. 6,Timisoara,Timis,,Mihai
Cardiomed (Medi Pro Consult),Str. Hatmanul Arbore Nr. 15-19 ap. 209 sector 1 Bucuresti,Str. Hatmanul Arbore,Nr. 15-19,Sector 1,Bucuresti,ap. 209,Mihai
Cardiomed Craiova,,,,,,,Mihai
CardioRec Corbeanca,"Sos. Unirii Nr. 187Ilfov, Corbeanca",Sos. Unirii,Nr. 187,Corbeanca,Ilfov,,Mihai
Care Zone Medical ### Urban Spa,B-dul Banu Manta Nr. 31 sector 1 Bucuresti,B-dul Banu Manta,Nr. 31,Sector 1,Bucuresti,,Mihai
Carexmed Consult,"Str. G-ral Vasile Milea Nr. 5 bl. B2 sc. B ap. 2Prahova, Ploiesti",Str. G-ral Vasile Milea,Nr. 5,Ploiesti,Prahova,bl. B2 sc. B ap. 2,Mihai
Casimed Center,"Calea Motilor Nr. 67Alba, Alba Iulia",Calea Motilor,Nr. 67,Alba Iulia,Alba,,Mihai
Central Clinic Bacau,"Str. Ion Luca Caragiale Nr. 7Bacau, Bacau",Str. Ion Luca Caragiale,Nr. 7,Bacau,Bacau,,Mihai
Central Clinic Piatra Neamt,"Str Stefan cel Mare Nr. 15Neamt, Piatra Neamt",Str Stefan cel Mare,Nr. 15,Piatra Neamt,Neamt,,Mihai
Central Clinic Roman,"str. Elena Doamna Nr. 1Neamt, Roman",str. Elena Doamna,Nr. 1,Roman,Neamt,,Mihai
Central Dent,"Str. Sfantul Sava Gotul Nr. 8 et. 1Buzau, Buzau",Str. Sfantul Sava Gotul,Nr. 8,Buzau,Buzau,et. 1,Mihai
Centrele Monza Ares - Pitesti,"Strada Pictor Nicolae Grigorescu Nr. 2Arges, Pitesti",Strada Pictor Nicolae Grigorescu,Nr. 2,Pitesti,Arges,,Mihai
CENTROKINETIC,"Bd. Mircea Eliade, Nr. 18. Eliade Tower, intrarea A, Etaj 3, sector 2 Bucuresti",Bd. Mircea Eliade,Nr. 18.,Sector 2,Bucuresti,"Eliade Tower, intrarea A",Mihai
Centru de balneofizioterapie si recuperare medicala - Recumed,"str. C-tin Dobrogeanu Gherea, Nr. 1A, Bucuresti",str. C-tin Dobrogeanu Gherea,Nr. 1A,***,Bucuresti,,Mihai
Centru de Dializa Diaverum - Bistrita,,,,,,,Mihai
Centru de Dializa Diaverum - Medias,,,,,,,Mihai
Centru de Dializa Diaverum - Miercurea Ciuc,,,,,,,Mihai
Centru de Dializa Diaverum - Odorheiu Secuiesc,,,,,,,Mihai
Centru de Dializa Diaverum - Roman,,,,,,,Mihai
Centru de Dializa Diaverum - Targu Jiu,,,,,,,Mihai
Centru de Dializa Diaverum Distributiei - Sibiu,,,,,,,Mihai
Centru de Dializa Diaverum Fundeni - Bucuresti,Sos. Fundeni Nr. 74 et. 2 sector 2 Bucuresti,Sos. Fundeni,Nr. 74,Sector 2,Bucuresti,et. 2,Mihai
Centru de Dializa Diaverum Industriilor - Bucuresti,,,,,,,Mihai
Centru de Dializa Diaverum Morarilor - Bucuresti,"Sos. Morarilor Nr. 2 A, Sector 2 Bucuresti",Sos. Morarilor,Nr. 2,Sector 2,Bucuresti,A,Mihai
Centru de Dializa Diaverum Morilor - Sibiu,,,,,,,Mihai
Centru de Excelenta in Diagnosticul si Tratamentul Endometriozei Wellborn,"Str. Brodina, Nr.3, sector 1 Bucuresti",Str. Brodina,Nr. 3,Sector 1,Bucuresti,,Mihai
Centru de Imagistica Bethesda - Suceava,"Calea Unirii Nr. 25 bisSuceava, Suceava",Calea Unirii,Nr. 25,Suceava,Suceava,bis,Mihai
Centru de recoltare Diaser,"str. Independentei Nr. 14Bihor, Marghita",str. Independentei,Nr. 14,Marghita,Bihor,,Mihai
Centru de recoltare Focsani,,,,,,,Mihai
Centru de recoltare Synevo Alba Iulia,,,,,,,Mihai
Centru de Recoltare Synevo Bacau 1,,,,,,,Mihai
Centru de Recoltare Synevo Bacau 2,,,,,,,Mihai
Centru de Recoltare Synevo Baia Mare,,,,,,,Mihai
Centru de Recoltare Synevo Brancoveanu,,,,,,,Mihai
Centru de Recoltare Synevo Campulung Moldovenesc,"Str. Calea Transilvaniei Nr. 16Suceava, Campulung Moldovenesc",Str. Calea Transilvaniei,Nr. 16,Campulung Moldovenesc,Suceava,,Mihai
Centru de Recoltare Synevo Caramfil I,,,,,,,Mihai
Centru de Recoltare Synevo Crangasi,,,,,,,Mihai
Centru de Recoltare Synevo Dristor,,,,,,,Mihai
Centru de recoltare Synevo Iasi Pacurari,"Str. Pacurari Nr. 113, bloc 603, TR II, parter,Iasi, Iasi",Str. Pacurari,Nr. 113,Iasi,Iasi,"bloc 603, TR II, parter",Mihai
Centru de recoltare Synevo Piatra Neamt,,,,,,,Mihai
Centru de recoltare Synevo Policlinica 1 Constanta,,,,,,,Mihai
Centru de recoltare Synevo Sacele,,,,,,,Mihai
Centru de recoltare Synevo Sfantu Gheorghe,,,,,,,Mihai
Centru de recoltare Synevo Sibiu Balea,,,,,,,Mihai
Centru de recoltare Synevo Targu Jiu,,,,,,,Mihai
Centru de recoltare Synevo Timisoara Dumbravita - Ferventia,,,,,,,Mihai
Centru de recoltare Synlab 13 Septembrie,"Calea 13 Septembrie Nr. 127, Bloc T3, Parter, Sector 5 Bucuresti",Calea 13 Septembrie,Nr. 127,Sector 5,Bucuresti,"Bloc T3, Parter",Mihai
Centru de recoltare Synlab Berceni,"Str. Sergent Nitu Vasile Nr. 51, Sector 4 Bucuresti",Str. Sergent Nitu Vasile,Nr. 51,Sector 4,Bucuresti,,Mihai
Centru de recoltare Synlab Botosani,"Str. Calea Nationala, Nr. 44D, Parter, Cabinet medical P13Botosani, Botosani",Str. Calea Nationala,Nr. 44D,Botosani,Botosani,"Parter, Cabinet medical P",Mihai
Centru de recoltare Synlab Bucurestii Noi,"Str. Floare de Crang Nr. 1, Sector 1 Bucuresti",Str. Floare de Crang,Nr. 1,Sector 1,Bucuresti,,Mihai
Centru de recoltare Synlab Caransebes,"Str. Gen. M. Trapsa, Nr. 7Caras-Severin, Caransebes",Str. Gen. M. Trapsa,Nr. 7,Caransebes,Caras-Severin,,Mihai
Centru de recoltare Synlab Cilinica Sintel,"Str. Magura Vulturului Nr. 58, Sector 2 Bucuresti",Str. Magura Vulturului,Nr. 58,Sector 2,Bucuresti,,Mihai
Centru de recoltare Synlab Clinica de Diabet ProfiDiab,"Soseaua Giurgiului Nr. 28, Sector 4 Bucuresti",Soseaua Giurgiului,Nr. 28,Sector 4,Bucuresti,,Mihai
Centru de recoltare Synlab Constanta,"B-dul Ferdinand Nr. 70AConstanta, Constanta",B-dul Ferdinand,Nr. 70A,Constanta,Constanta,,Mihai
